reference,dataset,scenario,mode,seed,round,cutoff,partition_executed,attackers,attackers_in_executed_partitions,attackers_low,attackers_clustered,clusters,clusters_with_attackers,rejected_clusters
10,mnist,scenario_cut_minmax,cutoff_clean,2024,9,True,True,0,0,0,0,6,0,5
10,mnist,scenario_cut_minmax,cutoff_clean,2024,9,False,True,0,0,0,0,1,0,0
10,mnist,scenario_cut_minmax,cutoff_clean,2024,29,True,True,0,0,0,0,2,0,1
10,mnist,scenario_cut_minmax,cutoff_clean,2024,29,False,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,0,True,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,0,False,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,9,True,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,9,False,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,29,True,True,0,0,0,0,1,0,0
11,mnist,scenario_cut_minmax,cutoff_clean,42,29,False,True,0,0,0,0,1,0,1
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,0,True,True,18,18,18,18,1,1,0
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,0,False,True,18,18,18,18,1,1,0
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,9,True,True,18,18,18,16,1,1,0
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,9,False,True,18,18,18,18,1,1,0
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,29,True,True,18,18,18,13,5,3,0
12,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,137,29,False,True,18,18,18,18,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,0,True,True,18,18,17,17,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,0,False,True,18,18,17,17,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,9,True,True,18,18,18,18,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,9,False,True,18,18,18,18,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,29,True,True,18,18,18,18,1,1,0
13,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,2024,29,False,True,18,18,18,18,1,1,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,0,True,True,18,18,18,16,5,4,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,0,False,True,18,18,18,18,1,1,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,9,True,True,18,18,18,18,1,1,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,9,False,True,18,18,18,18,1,1,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,29,True,True,18,18,18,6,12,4,0
14,fashion_mnist,scenario_cut_backdoor,cutoff_attacked,42,29,False,True,18,18,18,18,1,1,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,0,True,True,18,18,18,18,1,1,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,0,False,True,18,18,18,18,1,1,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,9,True,True,18,18,18,6,11,4,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,9,False,True,18,18,18,18,1,1,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,29,True,True,18,18,18,12,2,2,0
15,mnist,scenario_cut_backdoor,cutoff_attacked,137,29,False,True,18,18,18,18,1,1,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,0,True,False,18,0,0,0,0,0,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,0,False,False,18,0,0,0,0,0,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,9,True,True,18,18,16,16,1,1,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,9,False,True,18,18,16,16,1,1,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,29,True,True,18,18,18,18,1,1,0
16,mnist,scenario_cut_backdoor,cutoff_attacked,2024,29,False,True,18,18,18,18,1,1,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,0,True,True,18,18,18,18,1,1,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,0,False,True,18,18,18,18,1,1,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,9,True,True,18,18,18,11,10,3,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,9,False,True,18,18,18,18,1,1,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,29,True,True,18,18,0,0,0,0,0
17,mnist,scenario_cut_backdoor,cutoff_attacked,42,29,False,True,18,18,0,0,0,0,0
18,fashion_mnist,scenario_cut_backdoor,cutoff_clean,137,0,True,True,0,0,0,0,1,0,0
18,fashion_mnist,scenario_cut_backdoor,cutoff_clean,137,0,False,True,0,0,0,0,1,0,0
