dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
cifar10,fed_mdbscan_g,137,10,90,0,0.4222222222222222,0.1572,55,8,35,30,0.6868003493211726,0.6732020394753041,-0.654872464601064,-0.6409570900508134,-0.08025772132574698,-0.0161701740738715,0.2371713553714897,0.7028985507246377
cifar10,fed_mdbscan_g,137,11,90,0,0.4222222222222222,0.1581,58,11,32,27,0.6736371141834119,0.6106411377036852,-0.6079759224219436,-0.6569177186919374,0.05773989576078717,-0.032628249127679684,0.267852126523962,0.6895238095238095
cifar10,fed_mdbscan_g,137,12,90,0,0.4,0.1584,56,7,34,29,0.7222799257378819,0.6888724990953662,-0.5976268436714339,-0.6796353007346853,0.06387042573457492,-0.0465598421634438,0.24610599907469285,0.7727272727272728
cifar10,fed_mdbscan_g,137,13,90,0,0.4222222222222222,0.1571,56,7,34,31,0.7733247439082603,0.7558228605579869,-0.6165935398214785,-0.6996242395931738,0.1191840480214556,0.12155957614203461,0.06253819515176207,0.8330434782608696
cifar10,fed_mdbscan_g,137,14,90,0,0.4111111111111111,0.1583,57,8,33,29,0.6983913634962363,0.6928994272045922,-0.6015866060179327,-0.6654525076095451,0.03994317720973414,-0.058510622969529295,0.2417559662473469,0.7803030303030303
cifar10,fed_mdbscan_g,137,15,90,0,0.4222222222222222,0.1597,56,9,34,29,0.6817370264768533,0.6534527765474725,-0.6143411483278601,-0.6444181447270896,-0.006569900687547746,-0.012697168670714545,0.2325269472760084,0.7351778656126482
cifar10,fed_mdbscan_g,137,16,90,0,0.43333333333333335,0.1606,55,9,35,30,0.6873625247479644,0.6508586491638889,-0.6637040333230202,-0.69814983033737,0.008263884045757543,-0.040425435184678754,0.26789987893121603,0.6818181818181819
cifar10,fed_mdbscan_g,137,17,90,0,0.43333333333333335,0.1607,55,8,35,31,0.6833242312655097,0.694085487749868,-0.6641694279518857,-0.6749486320279678,-0.0530849500566459,-0.05335446098984263,0.22663579870841963,0.7743271221532091
cifar10,fed_mdbscan_g,137,18,90,0,0.4222222222222222,0.1616,53,6,37,32,0.6854893446991311,0.7105351097196336,-0.6363648882384465,-0.6428667670252705,-0.05453144458633925,-0.03702399932986962,0.23244758654314968,0.7380952380952381
cifar10,fed_mdbscan_g,137,19,90,0,0.4111111111111111,0.1602,55,6,35,31,0.6880465048505612,0.7326633299146622,-0.6516090245986972,-0.6406158161562032,-0.040198893578515506,-0.0622468711548164,0.23920596801389812,0.7743271221532091
cifar10,fed_mdbscan_g,137,20,90,0,0.43333333333333335,0.1629,56,10,34,29,0.6806600178292684,0.6285302082535379,-0.6323150340126021,-0.6510790810402242,-0.16210847975553858,-0.06348584335357273,0.2561789887458941,0.6931818181818182
cifar10,fed_mdbscan_g,137,21,90,0,0.4444444444444444,0.163,53,8,37,32,0.681401691183157,0.6705601466082518,-0.6377735146867397,-0.6492229994358656,-0.06294825451162206,-0.03702399932986962,0.23147245246221357,0.7463768115942029
cifar10,fed_mdbscan_g,137,22,90,0,0.4,0.1629,57,7,33,29,0.780371174208353,0.7307944182025536,-0.5852986372076773,-0.7066591206889422,0.028745717489850515,0.11702124593905859,0.07208611952382381,0.8136645962732919
cifar10,fed_mdbscan_g,137,23,90,0,0.45555555555555555,0.1623,53,8,37,33,0.6968757204072846,0.6839778623738079,-0.6671220647966798,-0.6515610282173991,0.05690237695965835,-0.13043866144719715,0.22569835076716854,0.7899999999999999
cifar10,fed_mdbscan_g,137,24,90,0,0.43333333333333335,0.1635,55,9,35,30,0.7008509976870518,0.6538024471964833,-0.6335325432809428,-0.6722363641546765,0.024649859943977594,-0.016169041669088863,0.2320675105485232,0.7424242424242424
cifar10,fed_mdbscan_g,137,25,90,0,0.4,0.1637,54,5,36,31,0.7115081742378159,0.7291150926227667,-0.6387587162130072,-0.6920594730743168,-0.07696762999398903,-0.05799347087549122,0.27498564043653073,0.7806324110671937
cifar10,fed_mdbscan_g,137,26,90,0,0.3888888888888889,0.1644,55,5,35,30,0.7151527300123757,0.7314934666288099,-0.6206909005404366,-0.6758392389776187,0.06667133569119645,-0.040425435184678754,0.23738248391885206,0.7760869565217391
cifar10,fed_mdbscan_g,137,27,90,0,0.4222222222222222,0.1642,56,8,34,30,0.6828271845423423,0.6937072408540101,-0.637218319382579,-0.6701578511936496,-0.09779203940221999,-0.05583331812818341,0.26033519553072626,0.7683982683982684
cifar10,fed_mdbscan_g,137,28,90,0,0.43333333333333335,0.1653,55,9,35,30,0.6793234161448408,0.6498762210142076,-0.6374459277946902,-0.6732268709535101,-0.041459486060071736,-0.04851052222161451,0.2389562771541224,0.722943722943723
