dataset,scenario,mode,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,fallback_rounds,l0_rejections,asr,extra_rejections,floor_honest_n,floor_honest_rejected,floor_fpr,above_floor_honest_n,above_floor_honest_rejected,above_floor_fpr
mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,137,0.2135,0.21345999999999998,0.19917359146636066,0.4066666666666667,,1.0,28,1098,,0,1523,130,0.08535784635587657,1177,968,0.822429906542056
mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,2024,0.4986,0.49463999999999997,0.4873584669618552,0.20407407407407407,,0.9333333333333333,0,548,,3,1607,79,0.049159925326695705,1093,472,0.43183897529734677
mnist,cut_minmax,clean,mdbg_l0_only,42,0.2849,0.27554,0.29089190449435665,0.38037037037037036,,0.9666666666666667,0,1027,,0,1480,78,0.052702702702702706,1220,949,0.7778688524590164
mnist,cut_minmax,clean,mdbg_l0_only,137,0.2135,0.21345999999999998,0.19917359146636066,0.4066666666666667,,1.0,0,1098,,0,1523,130,0.08535784635587657,1177,968,0.822429906542056
mnist,cut_minmax,clean,mdbg_l0_only,2024,0.4982,0.49448,0.4869796635605644,0.20666666666666667,,0.9333333333333333,0,558,,0,1607,79,0.049159925326695705,1093,479,0.43824336688014637
mnist,cut_minmax,clean,fedavg,42,0.7689,0.7634000000000001,0.7668729243640142,0.0,,0.0,0,0,,0,1480,0,0.0,1220,0,0.0
mnist,cut_minmax,clean,fedavg,137,0.6502,0.6333,0.6438100102012966,0.0,,0.0,0,0,,0,1523,0,0.0,1177,0,0.0
mnist,cut_minmax,clean,fedavg,2024,0.7489,0.73788,0.7438458742854477,0.0,,0.0,0,0,,0,1607,0,0.0,1093,0,0.0
mnist,cut_minmax,attacked,fed_mdbscan_g,42,0.1339,0.13512,0.13329311386360532,0.0,0.0,0.0,0,0,,0,1090,0,0.0,1070,0,0.0
mnist,cut_minmax,attacked,fed_mdbscan_g,137,0.1449,0.1472,0.13884248961737922,0.0,0.0,0.0,0,0,,0,1163,0,0.0,997,0,0.0
