dataset,scenario,mode,seed,round,gate_reason,layer,density_gap,alert,l0_guard,l0_rejected,threshold,max_distance_over_threshold,malicious_max_distance_over_threshold,distance_auc,constraint_ratio
fashion_mnist,cut_backdoor,attacked,2024,1,density_gap_without_l0_support,L0_only,1,0,False,0,1.2948212772607803,0.5545985720415516,0.46056223569445,0.2677469135802469,
fashion_mnist,cut_backdoor,attacked,2024,2,density_gap_without_l0_support,L0_only,1,0,False,0,1.2099512293934822,0.5701866300961832,0.49373320261245124,0.2824074074074074,
fashion_mnist,cut_backdoor,attacked,2024,3,density_gap_without_l0_support,L0_only,1,0,False,0,1.1233961954712868,0.5959047865101986,0.5285278053207234,0.2731481481481481,
fashion_mnist,cut_backdoor,attacked,2024,4,density_gap_without_l0_support,L0_only,1,0,False,0,1.0865740850567818,0.5589881148885535,0.5219299932483075,0.3140432098765432,
fashion_mnist,cut_backdoor,attacked,2024,5,density_gap_without_l0_support,L0_only,1,0,False,0,1.0230428725481033,0.6188838740579835,0.5241796165755435,0.3487654320987654,
fashion_mnist,cut_backdoor,attacked,2024,6,density_gap_without_l0_support,L0_only,1,0,False,0,1.0304318740963936,0.61256952301382,0.5837179842912867,0.36342592592592593,
fashion_mnist,cut_backdoor,attacked,2024,7,density_gap_without_l0_support,L0_only,1,0,False,0,0.9782423079013824,0.6511559934213502,0.5753704603272599,0.46141975308641975,
fashion_mnist,cut_backdoor,attacked,2024,8,density_gap_without_l0_support,L0_only,1,0,False,0,0.9488707780838013,0.6291798502582696,0.6074037291583042,0.40895061728395055,
fashion_mnist,cut_backdoor,attacked,2024,9,density_gap_without_l0_support,L0_only,1,0,False,0,0.924442708492279,0.6653243560832582,0.6653243560832582,0.4398148148148148,
fashion_mnist,cut_backdoor,attacked,2024,10,density_gap_without_l0_support,L0_only,1,0,False,0,0.9083079546689987,0.6557418143378823,0.6088655964927866,0.5162037037037037,
fashion_mnist,cut_backdoor,attacked,2024,11,density_gap_without_l0_support,L0_only,1,0,False,0,0.9061117097735405,0.6709068290254456,0.6147913040078401,0.47453703703703703,
fashion_mnist,cut_backdoor,attacked,2024,12,density_gap_without_l0_support,L0_only,1,0,False,0,0.8800595253705978,0.6934719634566967,0.6627249552762586,0.5254629629629629,
fashion_mnist,cut_backdoor,attacked,2024,13,density_gap_without_l0_support,L0_only,1,0,False,0,0.8886228874325752,0.6667166545323261,0.6208243394791494,0.5285493827160493,
fashion_mnist,cut_backdoor,attacked,2024,14,density_gap_without_l0_support,L0_only,1,0,False,0,0.8344343677163124,0.7208118405421771,0.7208118405421771,0.5015432098765432,
fashion_mnist,cut_backdoor,attacked,2024,15,density_gap_without_l0_support,L0_only,1,0,False,0,0.8486661687493324,0.689955585763688,0.6663951856110885,0.5895061728395061,
fashion_mnist,cut_backdoor,attacked,2024,16,density_gap_without_l0_support,L0_only,1,0,False,0,0.8577517792582512,0.7044762413399395,0.7044762413399395,0.4992283950617284,
fashion_mnist,cut_backdoor,attacked,2024,17,density_gap_without_l0_support,L0_only,1,0,False,0,0.8342685922980309,0.7124409241514755,0.6593986521916521,0.5154320987654322,
fashion_mnist,cut_backdoor,attacked,2024,18,density_gap_without_l0_support,L0_only,1,0,False,0,0.8158335834741592,0.7054761704934633,0.6285304576749465,0.558641975308642,
fashion_mnist,cut_backdoor,attacked,2024,19,density_gap_without_l0_support,L0_only,1,0,False,0,0.8397354558110237,0.7274410989129062,0.6552181119276257,0.4737654320987654,
fashion_mnist,cut_backdoor,attacked,2024,20,density_gap_without_l0_support,L0_only,1,0,False,0,0.8248379081487656,0.7389374576531912,0.681053876296238,0.4945987654320988,
fashion_mnist,cut_backdoor,attacked,2024,21,density_gap_without_l0_support,L0_only,1,0,False,0,0.8277424052357674,0.7155969963555953,0.6292417291608319,0.5262345679012346,
