dataset,scenario,mode,seed,factor,fp,tn,tp,fn,fpr,tpr
fashion_mnist,cut_minmax,attacked,42,1.0,828,1332,522,18,0.38333333333333336,0.9666666666666667
fashion_mnist,cut_minmax,attacked,42,1.25,142,2018,234,306,0.06574074074074074,0.43333333333333335
fashion_mnist,cut_minmax,attacked,42,1.5,3,2157,18,522,0.001388888888888889,0.03333333333333333
fashion_mnist,cut_minmax,attacked,42,2.0,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,42,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,1.0,839,1321,486,54,0.38842592592592595,0.9
fashion_mnist,cut_minmax,attacked,137,1.25,33,2127,0,540,0.015277777777777777,0.0
fashion_mnist,cut_minmax,attacked,137,1.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,2.0,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,2024,1.0,842,1318,504,36,0.38981481481481484,0.9333333333333333
fashion_mnist,cut_minmax,attacked,2024,1.25,209,1951,468,72,0.09675925925925925,0.8666666666666667
fashion_mnist,cut_minmax,attacked,2024,1.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,2024,2.0,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,attacked,2024,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_minmax,clean,42,1.0,1350,1350,0,0,0.5,
fashion_mnist,cut_minmax,clean,42,1.25,1210,1490,0,0,0.44814814814814813,
fashion_mnist,cut_minmax,clean,42,1.5,1169,1531,0,0,0.43296296296296294,
fashion_mnist,cut_minmax,clean,42,2.0,1093,1607,0,0,0.4048148148148148,
fashion_mnist,cut_minmax,clean,42,2.5,1061,1639,0,0,0.39296296296296296,
fashion_mnist,cut_minmax,clean,137,1.0,1350,1350,0,0,0.5,
