dataset,seed,round,contrast,before,after,count
mnist,2024,19,C-B,L0_rejected,L0_rejected,20
mnist,2024,19,C-B,L0_rejected,accepted,1
mnist,2024,19,C-B,accepted,accepted,69
mnist,2024,29,B-A,L0_rejected,L0_rejected,20
mnist,2024,29,B-A,accepted,accepted,70
mnist,2024,29,C-A,L0_rejected,L0_rejected,20
mnist,2024,29,C-A,accepted,accepted,70
mnist,2024,29,C-B,L0_rejected,L0_rejected,20
mnist,2024,29,C-B,accepted,accepted,70
fashion_mnist,42,0,B-A,accepted,accepted,90
fashion_mnist,42,0,C-A,accepted,accepted,90
fashion_mnist,42,0,C-B,accepted,accepted,90
fashion_mnist,42,9,B-A,L0_rejected,L0_rejected,36
fashion_mnist,42,9,B-A,accepted,accepted,54
fashion_mnist,42,9,C-A,L0_rejected,L0_rejected,36
fashion_mnist,42,9,C-A,accepted,accepted,54
fashion_mnist,42,9,C-B,L0_rejected,L0_rejected,36
fashion_mnist,42,9,C-B,accepted,accepted,54
fashion_mnist,42,19,B-A,L0_rejected,L0_rejected,39
fashion_mnist,42,19,B-A,accepted,accepted,51
fashion_mnist,42,19,C-A,L0_rejected,L0_rejected,39
fashion_mnist,42,19,C-A,accepted,accepted,51
fashion_mnist,42,19,C-B,L0_rejected,L0_rejected,39
fashion_mnist,42,19,C-B,accepted,accepted,51
fashion_mnist,42,29,B-A,L0_rejected,L0_rejected,38
fashion_mnist,42,29,B-A,accepted,accepted,52
fashion_mnist,42,29,C-A,L0_rejected,L0_rejected,38
fashion_mnist,42,29,C-A,accepted,accepted,52
fashion_mnist,42,29,C-B,L0_rejected,L0_rejected,38
fashion_mnist,42,29,C-B,accepted,accepted,52
fashion_mnist,137,0,B-A,accepted,accepted,90
fashion_mnist,137,0,C-A,accepted,accepted,90
fashion_mnist,137,0,C-B,accepted,accepted,90
fashion_mnist,137,9,B-A,accepted,accepted,90
fashion_mnist,137,9,C-A,accepted,accepted,90
fashion_mnist,137,9,C-B,accepted,accepted,90
fashion_mnist,137,19,B-A,accepted,accepted,90
fashion_mnist,137,19,C-A,accepted,accepted,90
fashion_mnist,137,19,C-B,accepted,accepted,90
fashion_mnist,137,29,B-A,accepted,accepted,90
fashion_mnist,137,29,C-A,accepted,accepted,90
fashion_mnist,137,29,C-B,accepted,accepted,90
fashion_mnist,2024,0,B-A,accepted,accepted,90
fashion_mnist,2024,0,C-A,accepted,accepted,90
fashion_mnist,2024,0,C-B,accepted,accepted,90
fashion_mnist,2024,9,B-A,L0_rejected,L0_rejected,5
fashion_mnist,2024,9,B-A,accepted,accepted,85
fashion_mnist,2024,9,C-A,L0_rejected,L0_rejected,5
fashion_mnist,2024,9,C-A,accepted,accepted,82
fashion_mnist,2024,9,C-A,accepted,additional_rejected,3
fashion_mnist,2024,9,C-B,L0_rejected,L0_rejected,5
fashion_mnist,2024,9,C-B,accepted,accepted,82
fashion_mnist,2024,9,C-B,accepted,additional_rejected,3
fashion_mnist,2024,19,B-A,L0_rejected,L0_rejected,11
fashion_mnist,2024,19,B-A,accepted,accepted,76
fashion_mnist,2024,19,B-A,accepted,additional_rejected,3
fashion_mnist,2024,19,C-A,L0_rejected,L0_rejected,11
fashion_mnist,2024,19,C-A,accepted,L0_rejected,3
fashion_mnist,2024,19,C-A,accepted,accepted,76
fashion_mnist,2024,19,C-B,L0_rejected,L0_rejected,11
fashion_mnist,2024,19,C-B,accepted,L0_rejected,3
fashion_mnist,2024,19,C-B,accepted,accepted,73
fashion_mnist,2024,19,C-B,additional_rejected,accepted,3
fashion_mnist,2024,29,B-A,L0_rejected,L0_rejected,14
fashion_mnist,2024,29,B-A,L0_rejected,accepted,1
fashion_mnist,2024,29,B-A,accepted,L0_rejected,1
fashion_mnist,2024,29,B-A,accepted,accepted,72
fashion_mnist,2024,29,B-A,additional_rejected,accepted,2
fashion_mnist,2024,29,C-A,L0_rejected,L0_rejected,15
fashion_mnist,2024,29,C-A,accepted,L0_rejected,1
fashion_mnist,2024,29,C-A,accepted,accepted,72
fashion_mnist,2024,29,C-A,additional_rejected,accepted,2
fashion_mnist,2024,29,C-B,L0_rejected,L0_rejected,15
fashion_mnist,2024,29,C-B,accepted,L0_rejected,1
fashion_mnist,2024,29,C-B,accepted,accepted,74
