dataset,scenario,mode,seed,round,label_semantics,reference,client_id,actual_attacker,latent_assigned,sample_count,update_norm,top5_cosine_similarity,negative_cosine_other_clients_mean,exact_duplicate_peers,oracle_negative_cosine_honest_mean
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,35,0,0,20,0.708454392128544,0.9810583032903066,-0.7612203745576673,0.0,-0.7706257240324272
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,36,0,0,20,0.6799319726139859,0.9228510412900185,-0.38119517009447046,0.0,-0.39940431709605556
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,37,0,0,20,0.7132146118648892,0.978321729922679,-0.7533526178245532,0.0,-0.7630891153281358
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,38,0,0,20,0.65758918921037,0.8980968645510146,-0.3553993033900947,0.0,-0.373388003701355
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,39,0,0,43,0.7337340275442903,0.6674743170135454,-0.011815295460975827,0.0,-0.03464938838385246
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,41,1,1,4673,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,42,0,0,20,0.7167297042893864,0.9773850636931691,-0.7581283783397059,0.0,-0.7677511540563691
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,43,0,0,20,0.7742146777534661,0.9568854713576516,-0.39188924185849255,0.0,-0.41245368030682183
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,44,0,0,577,0.8018247657178544,0.974395305162582,-0.40267707701173955,0.0,-0.42377228139693196
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,45,0,0,137,0.6793968599395575,0.4659416627778704,0.07638503988033674,0.0,0.05540185780999043
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,46,0,0,369,0.6239005130496208,0.762445468817771,0.01562118679138103,0.0,-0.003776126152987993
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,47,1,1,137,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,48,0,0,50,0.8141117475962116,0.990156376772547,-0.16893638548655002,0.0,-0.19364741084910286
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,49,0,0,1951,0.8102826788304173,0.9919362166296558,-0.17164529799183276,0.0,-0.1962174302696524
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,50,0,0,20,0.6668641870782205,0.8474151851584015,-0.7438923830130229,0.0,-0.7532829232257499
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,51,0,0,20,0.6574265682071188,0.9641794725238235,-0.8129216290680401,0.0,-0.8199584658308884
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,52,0,0,20,0.7234379903149274,0.9485001357906626,-0.39003173009203895,0.0,-0.40926610132529717
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,53,0,0,20,0.8085507181953647,0.9882111193433729,-0.17188200494855163,0.0,-0.19639933022875958
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,54,0,0,20,0.6915419650279823,0.9685489866300758,-0.7464347023627975,0.0,-0.7560959001576008
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,55,0,0,20,0.6107218081724737,0.7940849699125503,-0.3176982912183709,0.0,-0.3348693199741316
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,56,0,0,20,0.7132752178840664,0.9747274606409274,-0.7512487273242985,0.0,-0.7610569630061788
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,57,0,0,20,0.6644246874712951,0.9116907760316343,-0.37298420271188637,0.0,-0.3909006258698396
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,58,0,0,1959,0.5956782673485637,0.6840810918223414,-0.011726722471008939,0.0,-0.030255784959058136
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,59,0,0,191,0.6940691878874444,0.9840786291282209,-0.7606860820513005,0.0,-0.7699151551399293
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,61,1,1,2814,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,62,0,0,2353,0.7112069205142654,0.7478159353269269,0.02811709614436771,0.0,0.006017904609973965
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,63,0,0,3745,0.6745142902774514,0.6789098047505492,-0.016462483942204068,0.0,-0.03744826829970859
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,64,0,0,221,0.8044931950634159,0.9751102306071235,-0.4025107930049134,0.0,-0.4236803239977272
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,65,0,0,20,0.7167767263976739,0.9813440675003997,-0.7628511761629555,0.0,-0.7723128534393591
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,66,1,1,672,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,67,1,1,20,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,68,0,0,20,0.7153382652345971,0.974054387104619,-0.7544418448099053,0.0,-0.764170910222151
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,69,1,1,20,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,70,1,1,20,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,71,0,0,20,0.7049553815176959,0.9793144727117283,-0.758619258415951,0.0,-0.7680649339341872
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,72,0,0,20,0.7693298417144805,0.9597910084661624,-0.38220249946218765,0.0,-0.40281269785195917
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,73,1,1,20,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
