dataset,scenario,mode,seed,round,label_semantics,reference,score,auc,n,positive_n,zero_update_n,positive_median,negative_median,positive_min,positive_max,negative_min,negative_max
fashion_mnist,cut_minmax,attacked,42,0,actual_attacker,2,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,42,0,actual_attacker,2,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.9999999999999956,-0.4804870724096656,0.9999999999999956,0.9999999999999956,-0.8530054987103186,0.059416166152332826
fashion_mnist,cut_minmax,attacked,42,9,actual_attacker,2,top5_cosine_similarity,1.0,90,18,0,0.9999999999999998,0.9603553968455315,0.9999999999999998,0.9999999999999998,0.10014519511590987,0.9849836175778804
fashion_mnist,cut_minmax,attacked,42,9,actual_attacker,2,negative_cosine_other_clients_mean,1.0,90,18,0,0.999999999999936,0.8282751807458955,0.999999999999936,0.999999999999936,0.7175068681526545,0.9358348913968955
fashion_mnist,cut_minmax,attacked,42,9,actual_attacker,2,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,42,9,actual_attacker,2,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.9999999999999958,-0.3579035925111287,0.9999999999999958,0.9999999999999958,-0.6574641453966529,0.14311821971628746
fashion_mnist,cut_minmax,attacked,42,29,actual_attacker,2,top5_cosine_similarity,1.0,90,18,0,0.9999999999999998,0.954831098861218,0.9999999999999998,0.9999999999999998,0.12191284890112994,0.9835406301397045
fashion_mnist,cut_minmax,attacked,42,29,actual_attacker,2,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999997322,0.9401087663794512,0.9999999999997322,0.9999999999997322,0.8822385314686493,0.9570890281030969
fashion_mnist,cut_minmax,attacked,42,29,actual_attacker,2,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,42,29,actual_attacker,2,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.000000000000003,-0.498056810356415,1.000000000000003,1.000000000000003,-0.6837099442961834,0.1561564524297377
mnist,cut_minmax,attacked,137,0,actual_attacker,3,top5_cosine_similarity,1.0,90,18,0,1.0,0.8857893302771038,1.0,1.0,0.3613077481458405,0.958697274854895
mnist,cut_minmax,attacked,137,0,actual_attacker,3,negative_cosine_other_clients_mean,1.0,90,18,0,1.000000000000001,-0.8471870977872353,1.000000000000001,1.000000000000001,-0.9560816086484667,0.12093315573467057
mnist,cut_minmax,attacked,137,0,actual_attacker,3,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,137,0,actual_attacker,3,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.9999999999999969,-0.8524207144218876,0.9999999999999969,0.9999999999999969,-0.9574131522934946,0.10340774054460958
mnist,cut_minmax,attacked,137,9,actual_attacker,3,top5_cosine_similarity,1.0,90,18,0,0.9999999999999994,0.8738502584496008,0.9999999999999994,0.9999999999999994,0.3318595446658935,0.9551989092229775
mnist,cut_minmax,attacked,137,9,actual_attacker,3,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999807,-0.5753587935417417,0.9999999999999807,0.9999999999999807,-0.8012446287238347,0.5281320807849849
mnist,cut_minmax,attacked,137,9,actual_attacker,3,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,137,9,actual_attacker,3,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.0000000000000084,-0.7216815382586907,1.0000000000000084,1.0000000000000084,-0.8716097299270025,0.23753130573266976
mnist,cut_minmax,attacked,137,29,actual_attacker,3,top5_cosine_similarity,1.0,90,18,0,1.0000000000000004,0.8597710467838842,1.0000000000000004,1.0000000000000004,0.2552162351441402,0.957547511803714
mnist,cut_minmax,attacked,137,29,actual_attacker,3,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999545,0.1876526256088192,0.9999999999999545,0.9999999999999545,-0.3419709133291442,0.8431193442015013
mnist,cut_minmax,attacked,137,29,actual_attacker,3,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,137,29,actual_attacker,3,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.000000000000005,-0.5929933127103375,1.000000000000005,1.000000000000005,-0.8494236738941644,0.1688749919697644
mnist,cut_minmax,attacked,2024,0,actual_attacker,4,top5_cosine_similarity,1.0,90,18,0,1.0000000000000009,0.8897396252947298,1.0000000000000009,1.0000000000000009,0.2776587697339755,0.9742659620871972
mnist,cut_minmax,attacked,2024,0,actual_attacker,4,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999942,-0.2696316906607204,0.9999999999999942,0.9999999999999942,-0.8621604415968757,0.17529842131437018
mnist,cut_minmax,attacked,2024,0,actual_attacker,4,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,2024,0,actual_attacker,4,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.9999999999999886,-0.2987642234026081,0.9999999999999886,0.9999999999999886,-0.8700660064249846,0.13988050513680503
mnist,cut_minmax,attacked,2024,9,actual_attacker,4,top5_cosine_similarity,1.0,90,18,0,0.9999999999999997,0.8516518265624029,0.9999999999999997,0.9999999999999997,0.2272139256064169,0.9794269871862957
mnist,cut_minmax,attacked,2024,9,actual_attacker,4,negative_cosine_other_clients_mean,0.0,90,18,0,-0.9999999999973993,0.7579456856915252,-0.9999999999973993,-0.9999999999973993,0.6090103271724068,0.8854418517393469
mnist,cut_minmax,attacked,2024,9,actual_attacker,4,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,2024,9,actual_attacker,4,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.000000000000003,-0.3695728447702883,1.000000000000003,1.000000000000003,-0.7383954569587856,0.16559311648345415
mnist,cut_minmax,attacked,2024,29,actual_attacker,4,top5_cosine_similarity,1.0,90,18,0,1.0000000000000007,0.8539590241424873,1.0000000000000007,1.0000000000000007,0.2514045459174001,0.9709919668669104
