dataset,round,floor_first_loss,floor_last_loss,above_first_loss,above_last_loss
mnist,0,2.43807053565979,0.5502919256687164,2.3619385957717896,0.12378474324941635
mnist,9,0.1309719830751419,0.0537249892950058,2.950345993041992,0.038307731971144676
mnist,19,0.0810859352350235,0.034839458763599396,3.1057934761047363,0.035854458808898926
mnist,29,0.0706356018781662,0.026769012212753296,3.291578769683838,0.026477979496121407
fashion_mnist,0,2.427034854888916,0.07858450710773468,2.372833728790283,0.14729474484920502
fashion_mnist,9,0.24058227241039276,0.02669675089418888,1.5124041438102722,0.04635239765048027
fashion_mnist,19,0.19535979628562927,0.014842388220131397,1.2795417308807373,0.03154485300183296
fashion_mnist,29,0.18806962668895721,0.011477334424853325,1.1928352117538452,0.031416237354278564
har,0,1.8185968399047852,1.282294511795044,1.7704126834869385,1.324305772781372
har,9,1.035158395767212,0.037786561995744705,1.9111852645874023,0.0830848291516304
har,19,0.7663116753101349,0.018219185061752796,1.5662633180618286,0.012484393082559109
har,29,0.5658054947853088,0.014712997246533632,1.5238632559776306,0.008753816597163677
