dataset,method,round_0,round_5,round_10,round_20,round_29
mnist,fedavg,1.130404454259017,3.0207028239213245,2.9697632682959783,2.8545947200900357,2.9272270313803554
mnist,fed_mdbscan_g,1.130404454259017,6.709536420609284,8.10288267333756,9.807712455232252,9.655694314332054
fashion_mnist,fedavg,0.9439086276927499,2.248438418567731,2.167531648160493,1.8021870470614976,1.9390851074547675
fashion_mnist,fed_mdbscan_g,0.9439086276927499,2.248438418567731,2.380207730310043,1.8021870470614976,2.0041574962462794
har,fedavg,1.0007021946191403,1.546648096937631,1.3647403627983608,1.0334430132414187,2.4819438730533316
har,fed_mdbscan_g,1.0007021946191403,1.546648096937631,1.3647403627983608,1.0334430132414187,3.550367497496201
