source,reference,round,attackers,honest,attackers_bit_identical,attacker_distance_sum_min,attacker_distance_sum_max,attacker_zero_sum,attacker_rd_min,honest_rd_max,density_gap,threshold,low_density_attackers,low_density_honest
canonical,E1_fashion_mnist_7.1_42,0,27,63,True,8.688795105626923e-07,8.688795105626923e-07,0,5754537.814756348,2.4390538773479173,True,2877270.1269051125,0,63
canonical,E1_fashion_mnist_7.1_42,9,27,63,True,6.052880507922964e-07,6.052880507922964e-07,0,8260529.8311361205,2.676814081804121,True,4130266.2539751013,0,63
canonical,E1_fashion_mnist_7.1_42,29,27,63,True,8.815646168613966e-07,8.815646168613966e-07,0,5671733.987919482,2.605552662993279,True,2835868.2967360727,0,63
canonical,E1_fashion_mnist_7.2_137,0,27,63,True,1.8333102813627988e-08,1.8333102813627988e-08,0,272730701.9891488,12.388043126404408,True,136365357.18859595,0,63
canonical,E1_fashion_mnist_7.2_137,9,27,63,True,3.990516250773624e-09,3.990516250773624e-09,0,1252970715.0122926,30.873540818372234,True,626485372.9429168,0,63
canonical,E1_fashion_mnist_7.2_137,29,27,63,True,4.6566128730773926e-09,4.6566128730773926e-09,0,1073741824.0,40.05978147589365,True,536870932.0298908,0,63
canonical,E1_fashion_mnist_7.2_2024,0,27,63,True,1.1872079985764117e-08,1.1872079985764117e-08,0,421156192.1748784,11.189739187291709,True,210578101.6823088,0,63
canonical,E1_fashion_mnist_7.2_2024,9,27,63,True,7.454217798574803e-09,7.454217798574803e-09,0,670761189.8536111,25.982296894058265,True,335380607.917954,0,63
canonical,E1_fashion_mnist_7.2_2024,29,27,63,True,1.001442484493964e-08,1.001442484493964e-08,0,499279796.6352042,28.086041166563486,True,249639912.36062267,0,63
canonical,E1_fashion_mnist_7.2_42,0,27,63,True,1.209823463632631e-08,1.209823463632631e-08,0,413283437.65022856,10.106084967575875,True,206641723.87815675,0,63
canonical,E1_fashion_mnist_7.2_42,9,27,63,True,3.5463707526162125e-08,3.5463707526162125e-08,0,140989206.96070546,42.828949458319656,True,70494624.89482746,0,63
canonical,E1_fashion_mnist_7.2_42,29,27,63,True,2.002884968987928e-08,2.002884968987928e-08,0,249639898.3176021,97.61534767319695,True,124819997.96647489,0,63
canonical,E1_mnist_7.1_137,0,27,63,True,8.229434911299904e-07,8.229434911299904e-07,0,6075751.316939708,2.821009448334719,True,3037877.0689745783,0,63
canonical,E1_mnist_7.1_137,9,27,63,True,5.866592900360956e-07,5.866592900360956e-07,0,8522834.4371609,2.9427896399071307,True,4261418.68997527,0,63
canonical,E1_mnist_7.1_137,29,27,63,True,6.322026990801533e-07,6.322026990801533e-07,0,7908855.8262641635,2.9734177184455137,True,3954429.399840941,0,63
canonical,E1_mnist_7.1_2024,0,27,63,True,6.989264278445262e-07,6.989264278445262e-07,0,7153828.787702149,2.437382277001334,True,3576915.612542213,0,63
canonical,E1_mnist_7.1_2024,9,27,63,True,5.475036246593845e-07,5.475036246593845e-07,0,9132359.631610883,2.5077622365883943,True,4566181.06968656,0,63
canonical,E1_mnist_7.1_2024,29,27,63,True,4.3443975528134615e-07,4.3443975528134615e-07,0,11509075.629512696,3.02092034681779,True,5754539.3252165215,0,63
canonical,E1_mnist_7.1_42,0,27,63,True,5.107860800990238e-07,5.107860800990238e-07,0,9788833.711033536,2.4144944711350163,True,4894418.062764004,0,63
canonical,E1_mnist_7.1_42,9,27,63,True,6.052880507922964e-07,6.052880507922964e-07,0,8260529.8311361205,2.2631369415206173,True,4130266.047136531,0,63
