dataset,seed,fedavg,flame,flame_nonoise,flame_nonoise_ber,flame_random,flame_random_ber,flame_random_mean_overlap,multikrum,multikrum_random,multikrum_random_ber,multikrum_random_mean_overlap
mnist,42,0.8762,0.1915,0.1913,0.48814814814814816,0.5089,0.4885185185185185,0.5278600061671292,0.3612,0.8581,0.32222222222222224,0.6879781420765028
mnist,137,0.8356,0.2128,0.2128,0.48703703703703705,0.2988,0.48592592592592593,0.5178416332613834,0.3526,0.8064,0.32222222222222224,0.6704918032786885
mnist,2024,0.8576,0.1986,0.1984,0.48592592592592593,0.5583,0.4840740740740741,0.5104982526467263,0.5074,0.8662,0.32222222222222224,0.6786885245901639
fashion_mnist,42,0.7033,0.1998,0.1998,0.482962962962963,0.2471,0.47555555555555556,0.515779810621006,0.3888,0.6911,0.32222222222222224,0.6819672131147541
fashion_mnist,137,0.7594,0.3268,0.3235,0.45740740740740743,0.5415,0.4533333333333333,0.5504821192088531,0.3651,0.7358,0.32222222222222224,0.6825136612021858
fashion_mnist,2024,0.7463,0.3055,0.3051,0.4685185185185185,0.5252,0.44814814814814813,0.5620207356161953,0.4473,0.7506,0.32222222222222224,0.6644808743169399
har,42,0.41533763148965047,0.32473702069901594,0.32473702069901594,0.4477777777777778,0.4251781472684085,0.42814814814814817,0.5822984727554497,0.39226331862911434,0.4163556158805565,0.32222222222222224,0.6814207650273224
har,137,0.4462164913471327,0.18052256532066507,0.18052256532066507,0.3718518518518519,0.3172718018323719,0.3762962962962963,0.6394972647164242,0.28639294197488974,0.5595520868680014,0.32222222222222224,0.6683060109289617
har,2024,0.5042416016287751,0.40515778758059046,0.40583644384119444,0.45222222222222225,0.3654563963352562,0.4222222222222222,0.5846035800325132,0.35833050559891416,0.5371564302680693,0.32222222222222224,0.6721311475409836
