reference,dataset,scenario,mode,seed,round,alpha,auc,honest_min,honest_max,honest_median,attacker_min,attacker_max,attacker_median,duplicate_honest,duplicate_attackers,constraint_bound,max_constraint_ratio,strict_violations,tolerance_violations,attackers
0,fashion_mnist,cut_minmax,attacked,137,0,0.0,1.0,0.24560093141705677,0.9922835629276563,0.9586462256349706,1.0,1.0,1.0,0,18,1.393801096464391,0.9999986656470852,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,0,1e-06,1.0,0.24560093141705677,0.9922835629276563,0.9586462256349706,0.9999999999990006,0.9999999999990035,0.999999999999002,0,0,1.393801096464391,0.9999986698888322,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,0,0.0001,1.0,0.24560093141705677,0.9922835629276563,0.9586462256349706,0.9999999900094988,0.9999999900416272,0.9999999900289382,0,0,1.393801096464391,0.9999991063718295,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,0,0.01,1.0,0.24560093141705677,0.9922835629276563,0.9586462256349706,0.9999001074938085,0.999900423340425,0.9999003015521737,0,0,1.393801096464391,1.0000628241591232,14.0,10.0,18
0,fashion_mnist,cut_minmax,attacked,137,9,0.0,1.0,0.20992055893829703,0.9903614895225716,0.9341079229885991,0.9999999999999989,0.9999999999999989,0.9999999999999989,0,18,1.249717484399334,0.9999987559758787,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,9,1e-06,1.0,0.2099205617033367,0.9903614895225716,0.9341079229885991,0.9999999999989996,0.9999999999990031,0.9999999999990019,0,0,1.249717484399334,0.9999987606131254,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,9,0.0001,1.0,0.20992084720615733,0.9903614895225716,0.9341079229885991,0.9999999900038954,0.9999999900329837,0.999999990024629,0,0,1.249717484399334,0.9999993586837984,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,9,0.01,1.0,0.20994803717054883,0.9903614895225716,0.9341079229885991,0.9999000496291186,0.9999003419590154,0.9999002594328753,0,0,1.249717484399334,1.0000911925796705,16.0,15.0,18
0,fashion_mnist,cut_minmax,attacked,137,29,0.0,1.0,0.2293743245047895,0.9891433335604715,0.9324137270439514,0.9999999999999993,0.9999999999999993,0.9999999999999993,0,18,1.2861169181150092,0.9999987270191087,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,29,1e-06,1.0,0.22937432568565028,0.9891433335604715,0.9324137270439514,0.9999999999990022,0.9999999999990056,0.9999999999990029,0,0,1.2861169181150092,0.9999987317095748,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,29,0.0001,1.0,0.22937443941002217,0.9891433335604715,0.9324137270439514,0.9999999900283567,0.9999999900578842,0.9999999900340412,0,0,1.2861169181150092,0.9999991490288883,0.0,0.0,18
0,fashion_mnist,cut_minmax,attacked,137,29,0.01,1.0,0.22938491099511937,0.9891433335604715,0.9324137270439514,0.9999002876641254,0.9999005906453815,0.9999003512388603,0,0,1.2861169181150092,1.0000721914830262,14.0,13.0,18
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0,1.0,0.3264848870462619,0.9873728598150711,0.9732562955136597,1.0000000000000002,1.0000000000000002,1.0000000000000002,0,18,1.358180860322928,0.9999989532900513,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,0,1e-06,1.0,0.3264848870462619,0.9873728598150711,0.9732562955136597,0.999999999999001,0.9999999999990037,0.9999999999990024,0,0,1.358180860322928,0.9999989572548255,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,0,0.0001,1.0,0.3264848870462619,0.9873728598150711,0.9732562955136597,0.9999999900148285,0.9999999900435839,0.9999999900308856,0,0,1.358180860322928,0.9999992584225189,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,0,0.01,1.0,0.3264848870462619,0.9873728598150711,0.9732562955136597,0.999900157488063,0.9999004466016371,0.9999003168405799,0,0,1.358180860322928,1.0000441358767438,12.0,10.0,18
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0,1.0,0.13711834521181973,0.9889202315806264,0.9664852181025907,0.9999999999999994,0.9999999999999994,0.9999999999999994,0,18,1.3801349007874584,0.9999989270966064,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,9,1e-06,1.0,0.1371183478106603,0.9889202315806264,0.9664852181025907,0.9999999999990014,0.9999999999990028,0.9999999999990024,0,0,1.3801349007874584,0.9999989343425695,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,9,0.0001,1.0,0.13711859662407944,0.9889202315806264,0.9664852181025907,0.999999990017535,0.9999999900337316,0.999999990025005,0,0,1.3801349007874584,0.9999996186311876,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,9,0.01,1.0,0.13714082004079803,0.9889202315806264,0.9664852181025907,0.9999001894462441,0.9999003463528323,0.9999002568287211,0,0,1.3801349007874584,1.0001051162937646,13.0,11.0,18
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0,1.0,0.27121932139462024,0.9896962332286978,0.9738873462582505,0.9999999999999994,0.9999999999999994,0.9999999999999994,0,18,1.4320672516505293,0.9999989303799816,0.0,0.0,18
1,fashion_mnist,cut_minmax,attacked,2024,29,1e-06,1.0,0.27121932139462024,0.9896962332286978,0.9738873462582505,0.9999999999990002,0.9999999999990035,0.9999999999990019,0,0,1.4320672516505293,0.9999989356846551,0.0,0.0,18
