reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
2,fashion_mnist,cut_minmax,attacked,42,29,1e-06,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,1e-06,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0001,0.95,18,37,72,18,33,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0001,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0001,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0001,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.01,0.95,18,37,72,18,33,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.01,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.01,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.01,0.9999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,0,0.0,0.95,18,2,72,18,0,38,2,34
3,mnist,cut_minmax,attacked,137,0,0.0,0.99,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.0,0.999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.0,0.9999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,1e-06,0.95,18,2,72,18,0,38,2,34
3,mnist,cut_minmax,attacked,137,0,1e-06,0.99,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,1e-06,0.999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,1e-06,0.9999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.0001,0.95,18,2,72,18,0,38,2,34
3,mnist,cut_minmax,attacked,137,0,0.0001,0.99,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.0001,0.999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.0001,0.9999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.01,0.95,18,2,72,18,0,38,2,34
3,mnist,cut_minmax,attacked,137,0,0.01,0.99,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.01,0.999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,0,0.01,0.9999,18,0,72,18,0,38,0,34
3,mnist,cut_minmax,attacked,137,9,0.0,0.95,18,2,72,18,0,41,2,31
3,mnist,cut_minmax,attacked,137,9,0.0,0.99,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.0,0.999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.0,0.9999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,1e-06,0.95,18,2,72,18,0,41,2,31
3,mnist,cut_minmax,attacked,137,9,1e-06,0.99,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,1e-06,0.999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,1e-06,0.9999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.0001,0.95,18,2,72,18,0,41,2,31
3,mnist,cut_minmax,attacked,137,9,0.0001,0.99,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.0001,0.999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.0001,0.9999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.01,0.95,18,2,72,18,0,41,2,31
3,mnist,cut_minmax,attacked,137,9,0.01,0.99,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.01,0.999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,9,0.01,0.9999,18,0,72,18,0,41,0,31
3,mnist,cut_minmax,attacked,137,29,0.0,0.95,18,2,72,18,0,39,2,33
3,mnist,cut_minmax,attacked,137,29,0.0,0.99,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.0,0.999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.0,0.9999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,1e-06,0.95,18,2,72,18,0,39,2,33
3,mnist,cut_minmax,attacked,137,29,1e-06,0.99,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,1e-06,0.999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,1e-06,0.9999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.0001,0.95,18,2,72,18,0,39,2,33
3,mnist,cut_minmax,attacked,137,29,0.0001,0.99,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.0001,0.999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.0001,0.9999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.01,0.95,18,2,72,18,0,39,2,33
3,mnist,cut_minmax,attacked,137,29,0.01,0.99,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.01,0.999,18,0,72,18,0,39,0,33
3,mnist,cut_minmax,attacked,137,29,0.01,0.9999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0,0.95,18,9,72,18,0,39,9,33
4,mnist,cut_minmax,attacked,2024,0,0.0,0.99,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0,0.999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0,0.9999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,1e-06,0.95,18,9,72,18,0,39,9,33
4,mnist,cut_minmax,attacked,2024,0,1e-06,0.99,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,1e-06,0.999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,1e-06,0.9999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0001,0.95,18,9,72,18,0,39,9,33
4,mnist,cut_minmax,attacked,2024,0,0.0001,0.99,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0001,0.999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.0001,0.9999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.01,0.95,18,9,72,18,0,39,9,33
4,mnist,cut_minmax,attacked,2024,0,0.01,0.99,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.01,0.999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,0,0.01,0.9999,18,0,72,18,0,39,0,33
4,mnist,cut_minmax,attacked,2024,9,0.0,0.95,18,8,72,18,0,42,8,30
4,mnist,cut_minmax,attacked,2024,9,0.0,0.99,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.0,0.999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.0,0.9999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,1e-06,0.95,18,8,72,18,0,42,8,30
4,mnist,cut_minmax,attacked,2024,9,1e-06,0.99,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,1e-06,0.999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,1e-06,0.9999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.0001,0.95,18,8,72,18,0,42,8,30
4,mnist,cut_minmax,attacked,2024,9,0.0001,0.99,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.0001,0.999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.0001,0.9999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.01,0.95,18,8,72,18,0,42,8,30
4,mnist,cut_minmax,attacked,2024,9,0.01,0.99,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.01,0.999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,9,0.01,0.9999,18,0,72,18,0,42,0,30
4,mnist,cut_minmax,attacked,2024,29,0.0,0.95,18,3,72,18,0,43,3,29
4,mnist,cut_minmax,attacked,2024,29,0.0,0.99,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.0,0.999,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.0,0.9999,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,1e-06,0.95,18,3,72,18,0,43,3,29
4,mnist,cut_minmax,attacked,2024,29,1e-06,0.99,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,1e-06,0.999,18,0,72,18,0,43,0,29
