method,root,cases,relative_gap_max,cosine_min,accepted_min,rejected_max
fltrust_normalized,cohort_mean,6,2.3732935973223407e-07,0.9999999999999725,62,28
fltrust_normalized,small,6,2.379875092190158e-07,0.9999999999999727,62,28
fltrust_normalized,large,6,2.389041686115611e-07,0.9999999999999725,62,28
fltrust_normalized,unrelated,6,1.2792496976708479e-07,0.9999999999999939,37,53
fltrust,cohort_mean,6,0.41305902293984537,0.930664250499629,62,28
fltrust,small,6,2.379875092190158e-07,0.9999999999999727,62,28
fltrust,large,6,0.7392997894768778,0.9261934751661223,62,28
fltrust,unrelated,6,0.4432660702143,0.9691921797878678,37,53
