variant,root,cases,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_relative_gap_max,aggregate_cosine_min,zero_trust_clients,removed_by_local_rule
fltrust_normalized,cohort_mean,18,2.125897735849591e-06,5.9600866061937374e-08,1.943845417962109e-09,2.3658115286356667e-07,0.9999999999999727,65,65
fltrust_normalized,small,18,2.1283454071374663e-06,5.9600866061937374e-08,5.000000691257611e-10,2.3658115284718492e-07,0.9999999999999727,65,65
fltrust_normalized,large,18,2.1249783541676948e-06,5.960086606887627e-08,5.025098781530346e-09,2.365811528715886e-07,0.9999999999999725,65,65
fltrust_normalized,unrelated,18,7.142514291819113e-09,6.799038444055272e-08,1.9438455289844114e-09,2.789604021451376e-07,0.9999999999999702,56,56
fltrust,cohort_mean,18,2.125897735849591e-06,5.9600866061937374e-08,0.29990717648677556,0.4130590234272057,0.9306642503415857,65,65
fltrust,small,18,2.1283454071374663e-06,5.9600866061937374e-08,5.000000691257611e-10,2.3658115284718492e-07,0.9999999999999727,65,65
fltrust,large,18,2.1249783541676948e-06,5.960086606887627e-08,1.372248978334484,0.7571251250836307,0.9261934750870023,65,65
fltrust,unrelated,18,7.142514291819113e-09,6.799038444055272e-08,0.33937886727810707,0.44807529102487953,0.9103579540939428,56,56
