reference,mode,dataset,scenario,seed,round,gate,cutoff,fp,tp,honest_count,malicious_count,fpr,tpr,layer,fallback,natural_clusters,rejected_clusters,attack_gate
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,0,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,0,density_only,True,0,0,90,0,0.0,,L0+L2_SNNC,False,6,0,True
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,0,density_only,False,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,9,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,9,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,9,density_only,True,0,0,90,0,0.0,,L0+L2_SNNC,False,7,0,True
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,9,density_only,False,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,29,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,29,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,29,density_only,True,0,0,90,0,0.0,,L0_only,False,0,0,False
6,cutoff_clean,fashion_mnist,scenario_cut_minmax,137,29,density_only,False,0,0,90,0,0.0,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,0,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,0,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,0,density_only,True,0,0,90,0,0.0,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,0,density_only,False,0,0,90,0,0.0,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,9,original,True,2,0,90,0,0.022222222222222223,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,9,original,False,2,0,90,0,0.022222222222222223,,L0_only,False,0,0,False
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,9,density_only,True,2,0,90,0,0.022222222222222223,,L0+L2_SNNC,False,3,0,True
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,9,density_only,False,2,0,90,0,0.022222222222222223,,L0+L2_SNNC,False,1,0,True
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,29,original,True,16,0,90,0,0.17777777777777778,,L0+L2_SNNC,False,5,1,True
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,29,original,False,14,0,90,0,0.15555555555555556,,L0+L2_SNNC,False,1,0,True
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,29,density_only,True,16,0,90,0,0.17777777777777778,,L0+L2_SNNC,False,5,1,True
7,cutoff_clean,fashion_mnist,scenario_cut_minmax,2024,29,density_only,False,14,0,90,0,0.15555555555555556,,L0+L2_SNNC,False,1,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,0,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,0,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,0,density_only,True,0,0,90,0,0.0,,L0+L2_SNNC,False,5,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,0,density_only,False,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,9,original,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,2,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,9,original,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,9,density_only,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,2,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,9,density_only,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,29,original,True,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,29,original,False,39,0,90,0,0.43333333333333335,,L3_safety_fallback_L0,True,1,1,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,29,density_only,True,39,0,90,0,0.43333333333333335,,L0+L2_SNNC,False,1,0,True
8,cutoff_clean,fashion_mnist,scenario_cut_minmax,42,29,density_only,False,39,0,90,0,0.43333333333333335,,L3_safety_fallback_L0,True,1,1,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,0,original,True,17,0,90,0,0.18888888888888888,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,0,original,False,17,0,90,0,0.18888888888888888,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,0,density_only,True,17,0,90,0,0.18888888888888888,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,0,density_only,False,17,0,90,0,0.18888888888888888,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,9,original,True,36,0,90,0,0.4,,L3_safety_fallback_L0,True,1,1,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,9,original,False,36,0,90,0,0.4,,L3_safety_fallback_L0,True,1,1,True
